food_subcat_code,product,product_brand,product_name
04040201,BP_136717,壽桃牌,壽桃碗生麵皇(鮑雞味)
04040202,BP_116743,REEVA,牛肉味即食麵５包裝
04040203,BP_114080,壽桃牌,壽桃上海麵
04040205,BP_492638,GS RETAIL YOUUS,車打芝士年糕
04040206,BP_445223,MARUCHAN,醬油拉麵
04040207,BP_348261,不倒翁,韓式牛骨湯飯
04040208,BP_396799,金象牌,即食日本產米飯
04040209,BP_422242,李子柒,薯你彈酸辣粉
04040210,BP_355661,五木,細關東麵
04040211,BP_466338,SKINNY PASTA,即食有機燕麥蒟蒻麵
04040101,BP_188717,金香牌,泰國香米
04040102,BP_482075,JA TAJIMA,日本天然鸛米
04040103,BP_420566,金永泰,頂級香米
04040104,BP_197438,碧香稻,珍珠米
04040105,BP_461087,點點綠,點點綠有機 GABA 發芽長糙米
04040106,BP_406768,加利奧,小米
04040106,BP_369353,WAITROSE,全麥小米
04040106,BP_181030,QUEENSWOOD,非洲小米
04040106,BP_133106,WAITROSE DUCHY,有機碎小米
04040106,BP_326812,慈康農圃,慈康農圃有機燕麥米
04040105,BP_116680,LONGVALLEY ECO RICE,絲苗米（全糙米）
04040105,BP_382062,中興,糙米
04040105,BP_168660,慈康農圃,慈康農圃有機短糙米
04040105,BP_195611,慈康農圃,有機半糙米
04040105,BP_125655,ESSENTIAL WAITROSE,WHOLE GRAIN RICE
04040105,BP_168659,慈康農圃,有機長糙米
04040105,BP_369328,WAITROSE,印度香糙米
04040105,BP_357808,金鳳牌,有機香糙米
04040105,BP_382065,SAM HOLL,免浸糙米
04040105,BP_409999,皇家穀堡,胚芽糙米（一等米）
04040105,BP_460851,金鳳牌,初發芽香糙米
04040105,BP_472993,FOOD NATION,有機糙米
04040105,BP_353755,TAIWAN,糙米
04040105,BP_142792,金鳳牌,香糙米
04040105,BP_191144,金御膳,泰國糙米
04040105,BP_434943,金御膳,香糙米
04040104,BP_376854,金田禾,珍珠米
04040104,BP_389321,金田禾,台灣頂級珍珠米
04040104,BP_108557,碧香稻,珍珠米
04040104,BP_444633,KUMAI,美國珍珠米
04040104,BP_426724,金象牌,珍珠米
04040104,BP_372860,金田禾,珍珠米
04040104,BP_144911,金御膳,珍珠米
04040104,BP_103396,金御膳,珍珠米
04040103,BP_410052,皇家穀堡,台東米
04040103,BP_495101,稻月堂,台灣蓬萊米2公斤
04040103,BP_195608,慈康農圃,有機茉莉香米
04040103,BP_334686,SAVOR,頂級越南香米
04040103,BP_380207,金滿鈁,茉莉香米
