food_cat_name,food_cat_code,food_subcat_name,food_subcat_code
即食麵/飯、粉麵、意大利粉,04040200,杯麵、碗麵,04040201
即食麵/飯、粉麵、意大利粉,04040200,即食麵、公仔麵,04040202
即食麵/飯、粉麵、意大利粉,04040200,米粉、米線、中式麵,04040203
即食麵/飯、粉麵、意大利粉,04040200,通心粉、意粉,04040204
即食麵/飯、粉麵、意大利粉,04040200,年糕,04040205
即食麵/飯、粉麵、意大利粉,04040200,日式麵、拉麵、烏冬,04040206
即食麵/飯、粉麵、意大利粉,04040200,韓式麵,04040207
即食麵/飯、粉麵、意大利粉,04040200,即食飯/粥/薯蓉、蒟蒻麵,04040208
即食麵/飯、粉麵、意大利粉,04040200,粉絲、螺螄粉、酸辣粉,04040209
即食麵/飯、粉麵、意大利粉,04040200,台式麵、拌麵,04040210
即食麵/飯、粉麵、意大利粉,04040200,亞洲麵食及其他,04040211
米,04040100,泰國香米,04040101
米,04040100,日本米,04040102
米,04040100,其他地區香米,04040103
米,04040100,珍珠米,04040104
米,04040100,糙米,04040105
米,04040100,小米、燕麥米,04040106
米,04040100,紅米,04040107
米,04040100,三色米、多穀米,04040108
米,04040100,糯米,04040109
米,04040100,黑米、紫米,04040110
米,04040100,意大利米,04040111
原箱飲品,04011000,汽水,04011002
原箱飲品,04011000,即飲咖啡、奶茶,04011003
原箱飲品,04011000,即飲茶、檸檬茶、果茶,04011004
原箱飲品,04011000,奶類、乳酪飲品,04011001
原箱飲品,04011000,大豆飲品,04011006
原箱飲品,04011000,水、礦泉水、有氣水,04011005
原箱飲品,04011000,椰子水,04011007
草本及健康飲品,04010900,涼茶、草本飲品,04010901
運動及能量飲品,04010800,電解質飲品,04010801
運動及能量飲品,04010800,葡萄糖、能量飲品,04010802
運動及能量飲品,04010800,維他命飲品,04010803
果汁、椰子水,04010700,橙汁,04010701
果汁、椰子水,04010700,蘋果汁,04010702
果汁、椰子水,04010700,其他紙包果汁,04010703
果汁、椰子水,04010700,樽裝、罐裝果汁,04010704
果汁、椰子水,04010700,濃縮果汁,04010705
果汁、椰子水,04010700,椰子水,04010706
咖啡、沖調飲品、熱飲,04010600,東方茶葉、茶包、茶粉,04010601
咖啡、沖調飲品、熱飲,04010600,西方茶葉、茶包及異國茶,04010602
咖啡、沖調飲品、熱飲,04010600,果茶、花茶、保健茶包,04010603
咖啡、沖調飲品、熱飲,04010600,咖啡粉,04010604
咖啡、沖調飲品、熱飲,04010600,濾掛式、掛耳式咖啡,04010605
咖啡、沖調飲品、熱飲,04010600,咖啡伴侶,04010606
咖啡、沖調飲品、熱飲,04010600,咖啡豆,04010607
咖啡、沖調飲品、熱飲,04010600,咖啡膠囊,04010608
咖啡、沖調飲品、熱飲,04010600,即沖奶茶,04010609
咖啡、沖調飲品、熱飲,04010600,柚子茶、薑茶,04010611
咖啡、沖調飲品、熱飲,04010600,可可粉、麥芽飲品,04010612
咖啡、沖調飲品、熱飲,04010600,芝麻粉、豆漿粉及其他穀物粉,04010613
咖啡、沖調飲品、熱飲,04010600,其他沖劑飲品,04010614
植物奶、大豆飲品,04010500,豆奶,04010502
植物奶、大豆飲品,04010500,豆漿,04010503
植物奶、大豆飲品,04010500,燕麥奶、蕎麥奶,04010504
植物奶、大豆飲品,04010500,杏仁奶、堅果奶,04010505
奶類、乳酪飲品,04010400,全脂牛奶,04010402
奶類、乳酪飲品,04010400,低脂、脫脂牛奶,04010403
奶類、乳酪飲品,04010400,乳酪飲品,04010407
奶類、乳酪飲品,04010400,植物奶、大豆飲品,04010408
即飲茶類、咖啡、奶茶,04010300,檸檬茶,04010301
即飲茶類、咖啡、奶茶,04010300,綠茶,04010302
即飲茶類、咖啡、奶茶,04010300,無糖茶,04010303
即飲茶類、咖啡、奶茶,04010300,其他即飲茶類,04010304
即飲茶類、咖啡、奶茶,04010300,即飲咖啡,04010305
即飲茶類、咖啡、奶茶,04010300,即飲奶茶,04010306
汽水,04010200,汽水,04010201
汽水,04010200,運動、能量飲品,04010202
汽水,04010200,梳打水、湯力水,04010203
汽水,04010200,薑啤,04010204
水,04010100,樽裝及罐裝水,04010101
水,04010100,蒸餾水,04010102
水,04010100,礦泉水,04010103
水,04010100,有氣水、梳打水、湯力水,04010104
酒精飲品,04012000,原箱酒類,04012020
酒精飲品,04012000,啤酒,04012004
酒精飲品,04012000,果味啤酒、黑啤,04012005
酒精飲品,04012000,蘋果酒、果酒、雞尾酒,04012007
酒精飲品,04012000,紅酒、白酒,04012001
酒精飲品,04012000,香檳、有氣酒,04012002
酒精飲品,04012000,玫瑰酒,04012003
酒精飲品,04012000,威士忌、伏特加,04012009
酒精飲品,04012000,白蘭地、干邑,04012008
酒精飲品,04012000,其他烈酒、氈酒、甜酒,04012010
酒精飲品,04012000,清酒、吟釀、燒酌、泡盛、果味米酒,04012015
酒精飲品,04012000,梅酒,04012016
酒精飲品,04012000,紹興酒、花雕酒、養命酒、人參酒,04012012
酒精飲品,04012000,中國黃酒、白酒、米酒,04012011
酒精飲品,04012000,米酒、燒酒,04012017
酒精飲品,04012000,無酒精酒,04012018
酒精飲品,04012000,禮盒,04012019
豆腐、豆製品,04081060,豆腐,04081061
豆腐、豆製品,04081060,腐皮、響鈴,04081062
乳製品,04081000,鮮奶,04081051
乳製品,04081000,牛油、植物牛油,04081052
乳製品,04081000,芝士,04081053
乳製品,04081000,忌廉,04081054
