product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_100191,,,,,,,,,,32.5 克 g,165,7.6,9.2,5.9,0.5,13,,13,109
BP_100303,47,0,0,0,0,11.4,,11.4,71,/,,,,,,,,,
BP_100339,25,0,0,0,0,6.2,,6.2,30,/,,,,,,,,,
BP_100467,,,,,,,,,,15ml,120,0,14,1,0,0,0,0,0
BP_100918,348,9,0,0,0,77.6,0,0,3,/,,,,,,,,,
BP_101009,88,0.3,0.1,0,0,19.7,1.6,18.6,4,127g,112,0.4,0.1,0,0,25,2,23.6,5
BP_101010,88,0.3,0.1,0,0,19.7,1.6,18.6,4,127g,112,0.4,0.1,0,0,25,2,23.6,5
BP_101016,78,0,0,0,0,19.5,0,16.9,0,/,,,,,,,,,
BP_101018,70,0,0,0,0,17.7,0,15.3,0,140 g,94,0,0,0,0,24.8,1.3,21.4,0
BP_101019,70,0,0,0,0,17.7,0,15.3,0,/,,,,,,,,,
BP_101025,72,0.4,0,0,0,18,0,15.4,5,127g,91,0.5,0,0,0,22.9,0,19.6,6
BP_101026,73,0.4,0.1,0,0,16.8,1,16.6,5,127g,93,0.5,0.1,0,0,21.3,1.3,21.1,6
BP_101027,72,0.4,0,0,0,18,0,15.4,5,127g,91,0.5,0,0,0,22.9,0,19.6,6
BP_101047,164,11.6,10.2,4.5,0.2,5.6,1.98,0.67,897,/,,,,,,,,,
BP_101048,164,11.6,10.2,4.5,0.2,5.6,1.98,0.67,897,/,,,,,,,,,
BP_101057,290,15,25,10,0,1.5,,0,1200,/,,,,,,,,,
BP_101058,290,15,25,10,0,1.5,,0,1200,/,,,,,,,,,
BP_101062,287,8.1,20.6,8.2,0,17.4,,0,620,/,,,,,,,,,
BP_101070,262,15,20,8,0,5.5,,0.5,1200,/,,,,,,,,,
BP_101078,180,9,13,5.2,0,7.1,,1,900,/,,,,,,,,,
BP_101087,177,13.8,9.9,3.4,0,8.2,,2.5,657,/,,,,,,,,,
BP_101088,183,10.9,11,4.5,0,10.2,,0.5,430,/,,,,,,,,,
BP_101104,212,13.7,14,5.6,0.05,7.9,0.3,0,620,/,,,,,,,,,
BP_101314,,,,,,,,,,15ml,31,0.3,0,0,0,7.4,0,7.1,720
BP_101405,78,4.7,0.64,0,0,12.5,3.7,4.7,240,200g,156,9.4,1.28,0,0,25,7.4,9.4,480
BP_101415,85,4.6,0.3,0.1,0,15.7,,5.7,500,,,,,,,,,,
BP_101424,85,5.5,0.3,0,0,17,5.8,2.5,290,130g,111,7.2,0.3,0,0,22.1,7.6,3.3,377
BP_101427,85,5.4,1.9,0,0,11.5,2.3,3.8,300,130g,110,7,2.5,0,0,15,3,5,390
BP_101451,53,0.9,0.7,0.6,0,10.7,1.1,4.8,295,130g,69,1.2,1,0.8,0,13.9,1.5,6.2,384
BP_101452,70,2,0.5,0,0,13,3,4,190,130g,91,2.6,0.7,0,0,16.9,3.9,5.2,247
BP_101457,52,1.9,0.5,0.1,0,9.9,1,3.2,292,130g,68,2.5,0.7,0.1,0,12.9,1.3,4.2,380
BP_101458,47,1.7,0.7,0.2,0,8.6,1.3,0,159,130g,61,2.2,0.9,0.3,0,11.2,1.7,0,207
BP_101471,,,,,,,,,,126g,30,1,0,0,0,7,1,6,210
BP_102084,43,0,0,0,0,7,0,5.5,5,,,,,,,,,,
BP_102108,69,0.5,0,0,0,16.8,1.3,13.5,23,240ml,166,1.2,0,0,0,40.3,3.1,32.4,55
BP_102193,218,0,0,0,0,53.4,,52.2,2,40ml,87,0,0,0,0,21.4,,20.9,3
BP_102239,350,87.4,0,0,0,0,0,0,350,,,,,,,,,,
BP_102309,,,,,,,,,,100ml,25,0,0,0,0,6.2,,6.1,0
BP_102310,,,,,,,,,,100ml,20,0,0,0,0,5,,4.9,5
BP_102311,,,,,,,,,,100ml,25,0,0,0,0,6.2,,6,15
BP_102346,823,0,91.3,6.1,0,0,0,0,0,,,,,,,,,,
BP_102602,1,0,0,0,0,0,0,0,0.4,,,,,,,,,,
BP_102604,3,0,0,0,0,0,0,0,0.4,,,,,,,,,,
BP_102606,2,0,0,0,0,0,0,0,0.4,,,,,,,,,,
BP_102607,1,0,0,0,0,0.1,0,0,1.2,,,,,,,,,,
BP_102609,2,0,0,0,0,0,0,0,0.4,,,,,,,,,,
BP_102724,161,3.6,0.8,0,0,34.9,,27.6,5260,,,,,,,,,,
BP_103136,577,18,50.8,12.8,0,13.5,,3.3,663,,,,,,,,,,
BP_103157,365,19.4,31.8,6.4,0,0.3,,0,828,,,,,,,,,,
BP_103158,365,19.4,31.8,6.4,0,0.1,,0,800,,,,,,,,,,
BP_103160,133,14.8,7.4,1.9,0,1.7,,1,631,,,,,,,,,,
BP_103288,,,,,,,,,,1g,3,0.1,0.1,0.1,0,0.3,0,0.1,169
BP_103314,,,,,,,,,,30g,110,2.9,0.4,0,0,22.2,,0.3,0
BP_103318,348,9,1.2,0,0,77.6,2.4,3,0,,,,,,,,,,
BP_103331,,,,,,,,,,40g,110,1.4,1.1,0.5,0,23.3,,12.9,176
BP_103396,339,6.6,1.1,0.4,0,77.5,1.8,0,0,,,,,,,,,,
BP_103550,113,3.5,1.3,0.6,0,21.8,,2,430,,,,,,,,,,
BP_103554,,,,,,,,,,100ml,30,0,0,0,0,6.8,,6.6,10
BP_103592,360,0,0,0,0,0,0,0,25,,,,,,,,,,
BP_103747,214,0,1.1,0,0,49.4,,53.9,62,50g,107,0,0,0,0,24.7,0,27,31
BP_104156,74,4.4,0.5,0,0,12.9,4.9,5.8,307,,,,,,,,,,
BP_104164,,,,,,,,,,57 g,207,9.7,5,3.2,0,30.7,0.5,2.1,1073
BP_104208,810,0,90,12.2,0,0,0,0,0,15.5 ml,,,,,,,,,
BP_104259,450,10.9,19.6,12.7,0,57.4,,2.3,1779,,,,,,,,,,
BP_104260,445,11.3,18.8,12.2,0,57.7,,2.2,1380,,,,,,,,,,
BP_104463,370,0,0,0,0,90.3,,85,0,,,,,,,,,,
BP_104483,,,,,,,,,,5ml,4,0.4,0,0,0,0.4,,0.3,355
BP_104487,400,17.1,11.9,3.6,0,56.3,8.3,1.6,2233,70 g,280,12,8.3,2.5,0,39.4,5.8,1.1,1563
BP_104489,104,0.8,0,0,0,24.6,1,21.3,1100,,,,,,,,,,
BP_104817,,,,,,,,,,5ml,5,0.4,0,0,0,0.9,0,0.9,418
BP_104882,27,4.6,0,0,0,2.1,0,,502,,,,,,,,,,
BP_105122,503,7.3,24.2,15.1,0.6,66.1,,31.1,345,,,,,,,,,,
BP_105357,486,0.1,55,14.8,0.2,0.2,,0.1,340,,,,,,,,,,
BP_105584,,,,,,,,,,82 g,324,13.7,9.3,2.8,0,46.2,6.4,1.6,1757
BP_105590,150,10.9,3.9,0,0,67.5,49.9,1.9,25,,,,,,,,,,
BP_105592,254,15.6,0,0,0,65.2,41.8,3.9,26,,,,,,,,,,
BP_105593,250,22.9,3,0.6,0,52.4,20.4,8.5,379,,,,,,,,,,
BP_105605,361,8.3,5.8,2.8,0,66.3,2.8,6,1520,120g,227,8,6.5,3.1,0,33.1,1.2,6.7,715
BP_105614,,,,,,,,,,103g,469,11.3,21.1,9.8,0,58.2,,3.2,1936
BP_105651,505,12.8,24.7,10.4,0.2,59.5,,25,267,,,,,,,,,,
BP_105853,16,0.98,0.66,0.21,0,1.59,,0.35,687,,,,,,,,,,
BP_105866,109,0.8,0.2,0,0,28.1,1.1,23.9,1800,,,,,,,,,,
BP_105879,,,,,,,,,,17.3g,26,0,0,0,0,6.5,0,5.6,63
BP_105914,72,2,1,0,0,14,,7,2768,,,,,,,,,,
BP_105954,,,,,,,,,,10 ml,13,0.1,0,0,0,3,,2.9,664
BP_105956,,,,,,,,,,10 g,10,2,0.2,0,0,0.1,,0,873
BP_105957,,,,,,,,,,10 g,14,0.5,0,0,0,2.9,,2.1,438
BP_105958,,,,,,,,,,10 g,14,0.5,0,0,0,2.9,,2.1,438
BP_105962,252,4.8,23.6,2.6,0,4.5,,2.3,5968,,,,,,,,,,
BP_105970,,,,,,,,,,10 g,12,0.2,0,0,0,2.7,,2.1,458
BP_105981,,,,,,,,,,,120,8.1,4.1,1.8,0,12.6,,12.6,108
BP_106025,362.7,0.6,34,5.2,0.4,12.6,0,8.8,699.8,,,,,,,,,,
BP_106031,,,,,,,,,,100g,453,9.5,19.5,9,0,59.5,,1.9,1804
BP_106065,705,0.6,76,11.5,0.9,2,0,2,549,,,,,,,,,,
BP_106078,105,1.2,0.4,0,0,23,2,18,908,,,,,,,,,,
BP_106085,110,1,0.7,0,0,24.5,0,23.9,1030,17g,19,0,0,0,0,4.2,0,4.1,175
BP_106101,900,0,100,13.5,0,0,0,0,0,,,,,,,,,,
BP_106119,,,,,,,,,,5ml,3,0.3,0,0,0,0.3,,0.2,362
BP_106149,24.5,0.1,0,0,0,1.6,0.1,1.6,6,,,,,,,,,,
BP_106156,13,0,0,0,0,0,0,0,0,,,,,,,,,,
BP_106157,13,0,0,0,0,0,0,0,0,,,,,,,,,,
BP_106191,153,6.7,11,0.7,0,6.2,0,0,2200,,,,,,,,,,
BP_106234,117,1.3,0,0,0,25.9,1.2,20.9,799,,,,,,,,,,
BP_106238,113,1.1,0.6,0,0,26.7,0,19.6,1500,,,,,,,,,,
BP_106342,,,,,,,,,,100g,285,13,25,8,0,2,,2,670
BP_106393,,,,,,,,,,125 g,533,10,18,8.8,0,82,,3.6,2330
BP_106909,62.9,4.2,0.2,0,0,10.8,4.5,2.8,164,,,,,,,,,,
BP_107306,115,1.8,0.1,0,0,26.7,0.4,22.9,3713,17g,20,0.3,0,0,0,4.5,0.1,3.9,631
BP_107824,351,7.7,1.3,0.5,0,75.3,2.3,18.8,905,105g,178,3.9,0.7,0.2,0,37.8,1.2,9.6,485
BP_108007,26.3,1,0,0,0,5.6,,0,0,552g,135,5.1,0,0,0,28.7,,0,0
BP_108107,241,20.2,14.7,10.1,0.7,7,,5.1,1550,20.8g,50,4.2,3.1,2.1,0.1,1.5,,1.1,322
